dialogue,utterance,all_events
Remy give birth to a baby girl on a Saturday afternoon .,Remy>>give>>birth>>to>>a>>baby>>girl>>on>>a>>Saturday>>afternoon>>.,Alex gives birth||Alex gives birth to a baby girl||Alex has a baby girl||Alex gives  to a baby girl||Alex gives the girl 
Alex be no long raise Alex but she do give birth to Alex .,Alex>>be>>no>>long>>raise>>Alex>>but>>she>>do>>give>>birth>>to>>Alex>>.,Alex gives birth||Alex gives birth to a daughter||Alex gives Jesse birth||Alex gives birth to Jesse||Alex gives birth to a Jesse
Alex give Jesse advice about a job interview as Alex already work at the company and know the question that would be ask at teh interview stage .,Alex>>give>>Jesse>>advice>>about>>a>>job>>interview>>as>>Alex>>already>>work>>at>>the>>company>>and>>know>>the>>question>>that>>would>>be>>ask>>at>>teh>>interview>>stage>>.,Alex has an important job interview||Alex gives  an interview||Alex asks Jesse if would be||Alex asks Jesse a question||Alex asks the question||Alex interviews for Alex's dream job||Alex asks a question||Alex has a job interview||Alex asks Jesse a questions||Alex asks if would like||Alex knows  already||Alex gives Jesse an interview||Alex asks questions
Alex go out of her way to buy food for the homeless .,Alex>>go>>out>>of>>her>>way>>to>>buy>>food>>for>>the>>homeless>>.,Alex becomes homeless||Alex goes out of Alex's way||Alex buys food||Alex leaves food out||Alex buys dog food||Alex takes the food out||Alex is a homeless man||Alex buys some food
Alex play Jesse 's heart when she pretend to be interested in him at the party .,Alex>>play>>Jesse>>'s>>heart>>when>>she>>pretend>>to>>be>>interested>>in>>him>>at>>the>>party>>.,Alex plays Alex's heart||Alex pretends to like it||Alex pretends to be sick||Alex plays Jesse's heart||Alex pretends not to see Jesse||Alex plays Alex's heart out
Alex 's parent tell them to do well at school or they would be ground .   Alex take their word seriously .,Alex>>'s>>parent>>tell>>them>>to>>do>>well>>at>>school>>or>>they>>would>>be>>ground>>.>>Alex>>take>>their>>word>>seriously>>.,Alex takes seriously the ||Alex takes the  seriously||Alex would get better||Alex does well in school||Alex does well by doing good||Alex is doing really well||Alex tells Jesse would do||Alex takes this  seriously||Alex takes it seriously||Alex tells Jesse was grounded||Alex does very well in school||Alex does better in school||Alex takes  seriously
Jan take me to NYC to celebrate my birthday before the baby be bear .,Jan>>take>>me>>to>>NYC>>to>>celebrate>>my>>birthday>>before>>the>>baby>>be>>bear>>.,Alex is celebrating Jesse's birthday||Alex celebrates Jesse's birthday||Alex takes  to nyc||Alex gets  for my birthday||Alex takes it from me||Alex is celebrating Alex's birthday
it be a pretty sunny day outside . Quinn walk instead .,it>>be>>a>>pretty>>sunny>>day>>outside>>.>>Quinn>>walk>>instead>>.,Alex decides to walk instead||Alex is a pretty good day||Alex walks instead
Kai be ground after wreck his mother 's car so he hand back the key .,Kai>>be>>ground>>after>>wreck>>his>>mother>>'s>>car>>so>>he>>hand>>back>>the>>key>>.,Alex saves  from the wreck||Alex hands  back||Alex loses Alex's car keys||Alex wrecks Alex's car||Alex wrecks Jesse's car||Alex hands back the ||Alex hands Jesse his hat||Alex hands Jesse his head
Alex get his leg bite off by a shark while he be surf . Alex make light of the handicap .,Alex>>get>>his>>leg>>bite>>off>>by>>a>>shark>>while>>he>>be>>surf>>.>>Alex>>make>>light>>of>>the>>handicap>>.,Alex gets a bite||Alex surfs the web||Alex makes a light||Alex bites Jesse's head off||Alex makes light of ||Alex gets out while the gettings good||Alex jumps the shark||Alex learns to surf||Alex makes light work of ||Alex tries to surf||Alex wouldnt shouts if a shark bit him||Alex goes surfing||Alex knocks Jesse off his perch||Alex sees a shark||Alex swims with sharks||Alex loves to surf||Alex gets bitten
Kendall know that Skylar have a difficult work schedule and need to accomodate that when plan the vacation .,Kendall>>know>>that>>Skylar>>have>>a>>difficult>>work>>schedule>>and>>need>>to>>accomodate>>that>>when>>plan>>the>>vacation>>.,Alex would be difficult||Alex is difficult at first||Alex plans a vacation||Alex schedules an interview||Alex needs to know||Alex schedules an appointment||Alex has a difficult time||Alex needs a vacation||Alex plans Alex's vacation
but she do not want to be on the team so walk off the court .,but>>she>>do>>not>>want>>to>>be>>on>>the>>team>>so>>walk>>off>>the>>court>>.,Alex does n't want to play||Alex does n't make the team||Alex does n't want to go||Alex does n't want to fight||Alex takes  to court||Alex refers the  to the court||Alex does n't want to leave
Alex be at a friend 's house across town from where he live play video game .,Alex>>be>>at>>a>>friend>>'s>>house>>across>>town>>from>>where>>he>>live>>play>>video>>game>>.,Alex plays a video game||Alex plays video games||Alex is playing a video game||Alex is playing video games||Alex plays video games ||Alex plays video games with Jesse's friends||Alex plays video games with Alex's friends
Kendall take their dog to the new dog park in the neighborhood .,Kendall>>take>>their>>dog>>to>>the>>new>>dog>>park>>in>>the>>neighborhood>>.,Alex takes the dog||Alex takes Alex's dog to the dog park||Alex takes Jesse's dog to the dog park||Alex takes  to a dog park||Alex takes  to the dog park
"Alex 's brother be hungry , too , so Alex cut the sandwich in half .","Alex>>'s>>brother>>be>>hungry>>,>>too>>,>>so>>Alex>>cut>>the>>sandwich>>in>>half>>.",Alex divides the  into halves||Alex goes halves||Alex rips in half||Alex cuts  in half||Alex breaks  in half
Addison regard every girl as somebody who should be treat by their action .,Addison>>regard>>every>>girl>>as>>somebody>>who>>should>>be>>treat>>by>>their>>action>>.,Alex shoulds always||Alex spoils somebody rotten||Alex provides  in regard||Alex provides  with regard||Alex shoulds break up||Alex regards every 
Remy challenge them to a game and then beat them so much .,Remy>>challenge>>them>>to>>a>>game>>and>>then>>beat>>them>>so>>much>>.,Alex beats the game||Alex challenges  to a game||Alex challenges Jesse to a game||Alex lets them have it||Alex challenges  to a basketball game||Alex lets them have it
Casey give some money to Alex so she could go to the movie .,Casey>>give>>some>>money>>to>>Alex>>so>>she>>could>>go>>to>>the>>movie>>.,Alex goes see a movie||Alex is so excited to go||Alex decides to go to the movies||Alex sees could go||Alex gives Jesse some money||Alex is so excited Jesse could n't sleep||Alex is so excited Jesse could n't sleep||Alex wishes could go||Alex wants to go to the movies||Alex gives  some money||Alex is going to the movies
Alex give birth to ten baby over a span of ten year .,Alex>>give>>birth>>to>>ten>>baby>>over>>a>>span>>of>>ten>>year>>.,Alex is ten year 's old||Alex is ten years old||Alex wins ten dollars||Alex loses ten pounds||Alex gives birth to a baby girl
Alex wear some very heavy clothe even think it be hot outside and he would sweat heavily outside .,Alex>>wear>>some>>very>>heavy>>clothe>>even>>think>>it>>be>>hot>>outside>>and>>he>>would>>sweat>>heavily>>outside>>.,Alex is cold outside||Alex is outside playing||Alex is hot outside||Alex thinks outside the box||Alex is very hot outside||Alex sweats profusely||Alex is very hot outside||Alex is playing outside||Alex drenches in sweat||Alex is very hot outside||Alex breaks a sweat||Alex is hot outside
Remy understand every mystery because she be a famous mystery writer .,Remy>>understand>>every>>mystery>>because>>she>>be>>a>>famous>>mystery>>writer>>.,Alex understands every ||Alex becomes a writer||Alex is a famous singer||Alex wants to be famous||Alex becomes famous||Alex understands every word||Alex wants to be a writer
"Kendall persist after be tell no , and eventually have a positive effect on Alex .","Kendall>>persist>>after>>be>>tell>>no>>,>>and>>eventually>>have>>a>>positive>>effect>>on>>Alex>>.",Alex eventually told 
